Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login UI,Firefox 118.0,,,2023-10-16 15:20:45,2023-10-16 15:21:33,47.903s,ERROR
,,,,,,,
Test Cases/Login test/Login UI-1,Firefox 118.0,,,2023-10-16 15:20:46,2023-10-16 15:21:33,47.188s,ERROR
"openBrowser("""")",Firefox 118.0,,,2023-10-16 15:20:47,2023-10-16 15:20:59,12.179s,PASSED
"navigateToUrl(""https://pointposmqa.live1.dev.radixweb.net/pointposm#/ZGFzaGJvYXJk"")",Firefox 118.0,,,2023-10-16 15:20:59,2023-10-16 15:21:19,20.594s,PASSED
"com.kms.katalon.keyword.applitools.BasicKeywords.checkWindow(""Login UI"")",Firefox 118.0,,,2023-10-16 15:21:19,2023-10-16 15:21:33,13.801s,ERROR
,,,,,,,
Test Cases/Login test/Login UI-1,Firefox 118.0,,,2023-10-16 15:21:33,2023-10-16 15:21:33,0.196s,FAILED
"openBrowser("""")",Firefox 118.0,,,2023-10-16 15:21:33,2023-10-16 15:21:33,0.135s,FAILED
